terms;values
алименты;2
алимов;2
алина;1,698970
алиовсат;2
алиса;1,301030
алискер;2
алистер;2
алифатический;2
алихан;2
алициклический;2
алия;2
алкалоид;1,698970
алкан;2
алкана;2
алкен;2
алкены;2
алкидный;2
алкий;2
алкилгалогенид;2
алкилхлорид;2
алкильный;2
алкин;2
алкмеон;2
алкоголизм;1,698970
алкоголик;2
алкоголь;1,301030
алкогольдегидрогеназа;2
алкогольный;1,397940
алкоголят;2
алкоксид;2
алкоксония;2
алла;2
аллеви;2
аллегорический;1,698970
аллегория;2
аллен;1,204120
алленби;2
алленов;2
аллергический;2
аллея;1,518514
аллиловый;2
аллилуйя;2
аллоброгский;2
аллоксантин;2
аллоним;2
аллофикоцианин;2
аллювиальный;2
аллювий;2
аллюзия;1,518514
алма;2
алмабай;2
алмаз;1,698970
алмейда;2
алсу;2
алтай;0,301030
алтарь;2
алтын;2
алфавит;0
алфавитный;1,397940
алферов;1,698970
алфиа;2
алхимик;1,698970
алхимический;2
алчность;1,698970
алый;1,204120
аль;0,845098
альбази;2
альбакор;2
альбанский;2
альбер;1,698970
альберготти;2
альберт;1,146128
альберта;1,397940
альберштейн;2
альбин;2
альбина;1,698970
альбом;0,845098
альбретсен;2
альбрехт;2
альбуминовый;2
альбутерол;2
альварес;1,698970
альварец;2
альвеолят;2
альгемайн;2
альгимантас;2
альгинат;2
альголог;2
альгология;2
альгрантить;2
альдабранский;2
альдана;2
альдегид;2
альдегиддегидрогеназа;2
алькатрас;2
альмагор;2
альманах;1,397940
альперин;2
альперович;1,698970
альпийский;2
альпина;2
альпинист;2
альпинистский;1,698970
альпы;1,518514
альт;2
альтер;2
альтерман;2
альтернатива;1,146128
альтернативный;0,698970
альтист;1,698970
альтман;2
альфа;1,518514
альфонс;2
альфонсо;1,698970
альфред;1,146128
альфредо;2
альфредссон;2
алюминиевый;2
алюминий;1,698970
алюминийорганический;2
алюмогидрид;2
аля;2
аляска;1,698970
аляскинский;2
ама;1,397940
амадей;1,698970
амазон;2
амакиха;2
амаль;2
аманда;2
амано;2
амар;2
амарант;2
амарилло;2
аматунь;2
амаши;2
амб;2
амбивалентный;2
амбиентный;2
амбициозность;2
амбициозный;1,397940
амбиция;2
амброз;2
амбулатория;2
амбулаторный;2
амвросий;2
амд;2
амдер;2
амеба;1,698970
амебозой;2
амей;2
амер;2
амербах;2
америка;0,602060
американец;1,146128
американка;1,698970
американский;0,477121
ами;2
амид;2
амилоза;2
амилопектин;2
амин;2
аминов;2
аминокислота;1,698970
аминоэтокси;2
амир;2
амиран;1,698970
амиранашвили;2
амиров;2
амирова;2
амирян;2
амит;2
амитотический;2
амиюн;2
амкать;2
амма;2
аммиак;2
аммоний;1,698970
амнезия;1,698970
амниот;1,698970
амнистия;2
амнон;2
амортизационный;2
ампелий;2
ампер;2
амперметр;2
амперсанд;2
ампир;2
амплитуда;1,698970
амс;1,698970
амстердам;2
амстердамский;2
амулет;2
амундсен;1,698970
амфетамин;2
амфибия;2
амфисса;2
амфора;2
амхар;2
амхерстский;2
ан;1,146128
ана;2
анализ;0,477121
анализировать;1,041393
анализироваться;2
аналитик;0
аналитика;2
аналитический;1,204120
аналог;0,903090
аналогично;1,146128
аналогичный;0,477121
аналогия;1,146128
анальный;2
ананд;2
ананьева;2
анарх;2
анархист;2
анархо;2
анастасия;1,301030
анастомоз;2
анатолий;1,397940
анатоль;2
анатольевич;2
анатомия;1,301030
анахайм;2
анахарсис;2
анахронизм;2
анашкин;2
анаэробный;2
ангарский;2
ангел;1,301030
ангидрид;2
ангко;2
англ;0,301030
английски;1,518514
английский;0,301030
англиканский;2
англичанин;1,079181
англия;0,698970
англо;1,146128
англоговорящий;2
англонормандский;2
англосакс;2
англосаксонский;2
англоязычный;1,204120
ангоб;2
ангола;1,698970
ангьенский;2
андалузский;2
андерграунд;2
андерс;1,698970
андерсен;1,698970
андерсон;1,397940
анджелес;1,518514
анджело;2
андо;1,698970
андорра;1,698970
андра;2
андрадя;2
андре;2
андреа;2
андреас;1,698970
андреев;1,698970
андреевич;1,518514
андреевка;2
андрей;0,698970
андрейчук;2
андрогин;2
андрогинный;2
андромеда;2
андронов;2
андросский;2
андрюхин;2
андский;2
анды;2
анекдот;2
анекдотический;1,698970
анемичный;2
анжела;2
анжу;1,698970
анжуйский;1,698970
анжус;2
анзюс;2
анигин;2
анигина;2
анимационный;2
анимация;1,518514
аниме;1,518514
анимированный;1,518514
анимироваться;2
анионный;1,698970
анисимов;1,698970
анкалаев;2
анкара;2
анкор;2
анна;0,845098
анналист;2
анналы;2
аннаполис;2
аннексировать;2
аннексия;2
анненская;2
аннея;2
анно;2
аннотация;1,397940
аннотировать;2
аннулировать;2
ано;1,079181
аномалия;1,698970
анон;2
аноним;1,698970
анонимизировать;2
анонимно;1,397940
анонимность;1,518514
анонимный;1,041393
анонс;1,698970
анонсировать;1,301030
анофрий;2
аношин;2
анри;1,301030
ансамблевый;2
ансамбль;1,518514
ансари;2
ансел;2
антагонист;2
антанта;2
антаркти;2
антарктида;1,698970
антарктика;1,518514
антарктический;1,204120
антверпен;2
анти;1,518514
антиамериканский;2
антиат;2
антиб;2
антибиотик;2
антивирусный;2
антивоенный;2
антивспениватель;2
антиген;2
антигенный;2
антигерой;2
антиголландский;2
антиграбовый;2
антиквар;2
антиквариат;2
антикварный;2
антикир;2
антиковед;1,518514
антиковедение;2
антикоммунист;2
антикоммунистический;2
антикоррозионой;2
антикризисный;2
антильский;1,698970
антимикробный;1,698970
антинационалистический;2
антинормандский;2
антиоксидант;1,698970
антиох;2
антиохов;2
антиохова;2
антипапа;2
антипин;2
антипов;2
антиправительственный;2
антиримский;2
антиселл;2
антисемитизм;2
антисептический;2
антисоветский;2
антисоциальный;2
антистатик;2
антитело;1,518514
антитеррористический;2
антиутопический;2
антифон;2
антифранцузский;2
антифриз;2
антифрикционный;2
античность;1,518514
античный;1,301030
антология;1,698970
антон;1,204120
антониади;2
антоний;1,698970
антонина;2
антонио;1,518514
антониони;2
антониу;1,698970
антонович;2
антрепренер;1,698970
антресоль;2
антресольный;2
антропогенно;2
антропогенный;1,301030
антрополог;2
антропологический;1,698970
антропоморфный;2
антропонимический;2
антуан;1,698970
антураж;1,518514
анус;2
ануфриев;2
ануша;2
анфар;2
анфас;1,698970
анхель;2
анциат;2
анчоус;2
аншаков;2
аншлюс;2
аня;2
ао;2
аои;2
аоки;2
ап;1,698970
апамея;2
апатитский;2
апатичность;2
апач;2
апачивать;2
апвеллинг;2
апеллировать;2
апелляция;2
апельсин;1,518514
апеннинский;2
апикальный;2
апикомплекс;2
апин;2
апл;2
аплодировать;1,698970
аплонис;2
апогей;1,698970
аполло;2
аполлон;1,397940
аполлоний;2
апологет;2
апологетический;2
апология;1,698970
апоптоз;2
апостол;1,698970
апостро;2
апостроф;1,698970
апострофа;2
апофеоз;2
аппалачи;1,698970
аппарат;0,698970
аппаратура;2
аппетит;1,698970
аппиан;1,698970
аппия;2
апплгейт;2
аппный;2
аппулей;2
апр;2
апрель;0
апрельский;2
апресян;2
апробация;2
апробировать;1,698970
аптека;2
аптекарский;2
аптекарь;2
аптечка;2
аптон;2
апулия;2
апча;2
апшерон;2
апшеронский;1,698970
ар;1,518514
араб;1,079181
арабия;2
араблинский;2
арабо;2
арабский;0,845098
аравийский;1,518514
аравия;1,397940
арагонский;2
арад;1,698970
арадское;2
арайот;2
аракав;2
аранжировка;2
аранжировщик;2
аранович;2
аратинг;2
араузион;2
араузить;2
арбат;2
арбенс;2
арби;2
арбитр;2
арбитраж;1,518514
арбитражный;2
арбузинский;2
арватский;2
арвота;2
арг;2
аргайло;2
аргентин;2
аргентина;1,301030
аргентинский;1,698970
аргов;2
арговый;2
аргумент;0,602060
аргументация;1,397940
аргументированный;1,301030
аргументировать;1,301030
аргун;2
аргус;1,698970
ард;2
ардаган;2
ардашников;2
ареал;1,397940
арекипа;2
арел;2
арель;2
арена;1,204120
аренавирус;2
аренас;2
аренда;2
арендатор;2
арендный;2
арендовать;1,698970
ареография;2
арест;1,041393
арестант;2
арестный;2
арестованный;1,397940
арестовывать;1
аретьюз;2
арец;2
аржанова;2
арзуманов;2
аризона;1,698970
аризонский;2
арик;2
арика;2
арина;2
аринори;2
ариса;2
аристократ;1,146128
аристократический;1,698970
аристократия;1,079181
аристократка;2
аристотель;1,698970
арифметик;2
арифметика;2
ариэль;2
ария;2
арк;1,698970
аркадий;2
аркадный;2
арканзас;2
аркти;2
арктика;1,518514
арктический;1,301030
арли;2
арлингтон;2
арльт;2
арман;1,698970
армандо;2
арматура;2
армейский;1,146128
армения;1,146128
армитедж;1,698970
армия;0,698970
армс;2
армстронг;1,518514
армянин;2
армяно;2
армянский;1
армяч;2
арнавот;2
арназ;2
арнальдо;2
арнистон;2
арнит;2
арно;1,698970
арнольд;2
арнольди;2
аромат;2
ароматизатор;2
ароматический;2
ароматный;2
аррениус;2
арриаз;2
арсена;2
арсенал;1,204120
арсений;1,698970
арсеньево;2
арсланов;2
арт;1,397940
артель;2
артем;1,518514
артемий;2
артемовск;2
артемовский;2
артеривирус;2
артефакт;2
артиллерийский;1,518514
артиллерия;1,518514
артист;1
артистический;1,698970
артистка;1,518514
артропод;2
артур;0,903090
артуро;1,698970
артюхин;2
арух;2
аруц;2
арфа;2
арфист;2
арх;1,079181
архаизм;2
архей;2
археологический;1,204120
архепластида;2
архетип;1,698970
архив;0,477121
архивация;2
архивированный;1,518514
архивировать;0,301030
архивный;0,602060
архиепископ;1,204120
архиепископство;2
архипелаг;1,301030
архипов;2
архитектор;1,041393
архитекторский;2
архитектура;1,204120
архитектурный;1,397940
арцейн;2
арци;2
арцтовский;2
арчер;1,698970
арчера;2
арчеру;2
арчибальд;2
арьергард;2
ас;1,698970
асадуллаев;2
асафов;2
асбест;2
асва;2
асвк;2
асг;2
асда;2
асеан;2
асен;2
асимметричность;2
асимметричный;1,698970
асинхронный;2
аскарь;2
аскерович;2
аскетический;2
аскиз;2
асклепие;2
аскомицет;2
аскрен;2
асламбек;2
аслан;1,698970
асланов;2
аслаханова;2
асма;2
асор;2
асоциальный;2
аспект;0,698970
аспиналл;2
аспирант;1,518514
аспирантура;2
аспс;2
асс;1,698970
ассамблея;1,698970
ассемблер;2
ассигнование;1,698970
ассигновать;2
ассириец;2
ассирийский;2
ассистент;1,397940
ассистентура;2
ассистировать;1,518514
ассортимент;2
ассоциативный;2
ассоциация;0,698970
ассоциировать;1,301030
ассоциироваться;1,079181
ассошиэйтед;2
асср;1,518514
ассунсао;2
аст;1,204120
аствацатуров;2
аствацатурова;2
астероид;1,518514
астматик;2
астория;2
астра;2
астрабад;2
астральный;1,698970
астраханский;2
астрахань;1,698970
астрель;2
астрикс;2
астрограф;2
астрод;2
астродом;2
астроклимат;2
астролог;2
астрологический;1,698970
астрология;1,518514
астролябия;2
астронавт;1,518514
астроном;1,301030
астрономический;1,204120
астрономия;1,397940
астрофизический;2
асу;2
асук;2
асунсьон;2
асфальт;1,698970
асфальтобетонный;2
асфальтовый;2
асхабад;2
асцендент;2
ат;1,698970
ата;1,698970
атаб;2
атаев;2
атака;1,041393
атакишиев;2
атаковать;1,204120
атаман;2
атанасиу;2
атари;2
атдтна;2
атеистический;2
атилий;2
атитланский;2
атланта;1,698970
атлантик;1,698970
атлантика;1,397940
атлантический;1,301030
атлас;1,698970
атласов;2
атлетика;2
атлетический;2
атма;2
атмосфера;0,778151
атмосферный;1,397940
ато;2
атом;1,518514
атомный;1,698970
атраша;2
атрибут;1,518514
атрибутика;2
атрибутировать;2
атрибутироваться;2
атрибуция;1,301030
атропин;2
аттенуировать;2
аттестат;1,698970
аттестовать;2
аттик;2
аттический;1,698970
аттрактант;2
атэс;2
атюшов;2
аугусто;2
аудиенция;1,518514
аудио;1,146128
аудиовизуальный;2
аудиозапись;1,698970
аудиостатья;1,698970
аудитория;0,903090
аукнуться;2
аукцион;1,397940
аукционный;2
аустин;2
аутентичность;2
аутентичный;1,518514
аутос;2
аутра;2
аушев;2
аушева;2
афанасенко;2
афанасенков;2
афанасий;1,698970
афанасьев;2
афанасьевич;1,698970
афанасьевский;2
афганистан;1,204120
афганский;2
афиногенов;2
афинский;2
афины;2
афис;2
афиша;1,397940
афишировать;2
афк;2
афоризм;1,698970
африка;1,079181
африканский;1,204120
афршкуримпорт;2
афтовирус;2
аффилировать;1,698970
аффольтер;2
ахава;2
ахва;2
ахеджаков;2
ахеджакова;2
ахеец;2
ахен;2
ахерон;2
ахим;2
ахиноам;2
ахма;2
ахмад;2
ахмат;1,698970
ахматова;2
ахмед;1,301030
ахмедабад;2
ахмедов;2
ахмедович;2
ахрар;2
ахтерштевень;2
ахтуба;2
ахтубинский;2
ахув;2
ахундов;2
ахча;2
ацетальдегид;2
ацетат;2
ацетиленид;2
ацетиленовый;2
ацетон;2
ацидин;2
ациклический;2
ацикловир;2
ацил;2
ацилий;2
ацтек;2
ач;2
ачесон;2
ачикасов;2
ачо;2
ачыг;2
ашдод;2
ашдот;2
ашер;2
ашкелон;2
ашкеназизация;2
ашкеназский;2
ашок;2
ашхабад;2
ашшур;2
аэрограф;2
аэродром;2
аэрозоль;2
аэропорт;1,518514
аэростат;2
аэростатный;2
аэрофотоснимок;2
ая;1,698970
аякса;2
б;0,301030
ба;1,518514
баба;1,518514
бабаев;2
баберовски;2
баберовский;2
бабицкий;2
бабка;2
бабки;2
бабочка;2
бабушка;1,518514
бавария;1,698970
багаж;1,698970
багажный;2
багамский;2
багамут;2
багдасаров;2
багир;2
багиров;2
багирова;2
бада;2
баден;2
баденский;2
бадж;2
баджа;2
бадин;2
бадингтон;2
бадтиев;2
баженова;2
бажов;2
база;0,477121
базальный;1,698970
базальт;2
базар;1,698970
базаров;2
базельский;2
базза;2
базироваться;1,041393
базис;2
базовый;0,903090
баилов;2
баиловский;2
баич;2
байден;2
байера;2
байрда;2
байрон;2
байт;1,518514
байя;2
бак;1,518514
бакалавриат;2
бакарисас;2
бакинский;2
баккал;2
баклан;2
баклать;2
баксовет;2
баксовнарком;2
бакстер;2
бакте;2
бактериальный;1,518514
бактериолог;2
бактериологический;2
бактериофаг;2
бактерифаг;2
бактерия;1,204120
баку;1,301030
бал;1,698970
балаган;2
баланс;1,146128
балансир;2
балансирование;2
балансировать;2
балаханский;2
балахна;2
балахнинский;2
балерина;1,518514
балет;1,518514
балетмейстер;2
балзукевич;2
баликоева;2
баликпапан;2
балинский;2
балка;1,397940
балканский;1,518514
балканы;1,698970
балкария;1,698970
балкон;1,698970
балл;1,397940
баллада;1,301030
балластный;2
баллено;1,698970
балливиан;2
баллистический;2
баллотироваться;2
балльный;2
балтийский;1,518514
балтимор;2
балтиморский;2
балхаш;2
бальзак;2
бальзовый;2
бальфур;2
бамбуковый;2
бан;2
банай;2
банальный;1,698970
бангкванг;2
бангладеш;1,698970
банда;1,204120
бандаж;2
бандажный;2
бандар;2
бандгруппа;2
банджар;2
банджармасин;2
бандза;2
бандиленко;2
бандит;1,397940
бандитизм;1,698970
бандитский;2
бандла;2
бандунг;2
банк;1,301030
банка;1,301030
банкет;1,397940
банковский;1,301030
банкротство;1,698970
банников;2
банный;2
бант;2
бантен;2
бантенский;2
бантный;2
баня;1,518514
банялука;2
бао;2
бар;1,204120
барабан;1,301030
барабанный;2
барабанщик;2
бараев;2
баран;2
баранангсиа;2
баранина;1,698970
барахов;2
барбара;2
барбарый;2
барбат;2
барбет;2
барбоз;2
барвиха;2
бард;1,518514
бардовская;2
бардовский;2
бардюга;2
барельеф;1,698970
баренбойм;2
барзал;2
барзилая;2
баритон;2
барк;1,698970
барка;1,301030
барканова;2
баркас;1,698970
баркин;2
баркли;2
барков;2
баркова;2
баркфилд;2
барлоу;1,698970
барн;2
барнард;2
барнет;2
барнетт;1,698970
барнс;1,698970
барограф;2
барокко;2
барометр;1,698970
барометрический;2
барон;1,301030
баронесса;2
баронет;2
баронский;1,518514
барра;2
баррас;2
баррассо;2
баррелл;2
баррет;2
барри;2
баррикадирование;2
баррикадировать;2
барроу;2
барселона;1,698970
барский;2
барсук;1,698970
барт;2
барталом;2
бартлетт;2
бартлетта;2
бартон;2
бартош;2
бартр;1,698970
барулах;2
барулин;2
барух;1,698970
баршай;2
барштейн;2
барышня;2
барьер;1,301030
барьерный;2
барятинский;2
бас;1,518514
басаев;2
басаева;1,698970
басаргин;2
басилашвили;2
басин;2
басинский;2
баскаев;2
баскетбол;1,397940
баскетболистка;2
баскетбольный;1,518514
басок;2
басор;2
бассейн;1,301030
бастард;2
бастовать;2
бат;1,698970
батавия;2
батальон;2
батанический;2
батарейка;2
батарея;1,698970
батат;2
батист;1,397940
батрак;2
батроня;2
баттонс;2
баучер;2
баффало;2
баффетт;2
баффин;2
баха;2
бахметьевский;2
бахрейн;2
бахрома;2
бахтемир;2
бахытжан;2
бацаль;2
баш;0,301030
башарин;2
башенка;2
башенный;2
баширович;2
башкир;2
башкиров;1,698970
башкирский;2
башкортостан;2
башмак;2
башнеподобный;2
башня;1,041393
башрав;2
башҡортса;0
бботом;2
бд;1,518514
бдение;2
бдительный;2
бе;1,698970
беатрис;2
бебий;2
бег;1,698970
бегать;2
бегимханум;2
беглец;1,397940
бегло;2
беглый;1,698970
беговой;2
бегство;1,397940
бегун;2
бегункова;2
бегунья;2
беда;1,698970
бедард;2
бедно;2
бедность;1,698970
беднота;1,698970
бедный;1,079181
бедняк;1,698970
бедренный;1,518514
бедро;1,397940
бедственный;1,698970
бедствие;1,698970
бедствовать;2
бедуин;2
бедфорд;2
бежать;0,954243
бежевый;2
беженец;1,518514
безалкогольный;2
безбедный;2
безвкусный;1,698970
безводный;1,698970
безвозмездно;2
безвозмездный;2
безвредно;2
безвредный;2
безвременный;2
безвылазный;2
безвыходный;2
безграмотный;2
безгранично;2
безграничный;1,518514
бездарный;2
бездействие;2
безденежье;2
бездетность;2
бездетный;1,518514
бездоказательный;1,698970
бездомный;1,698970
бездумно;2
бездыханный;2
безжалостный;1,698970
безжгутиковый;2
безжизненный;1,698970
беззаботный;2
беззаветный;2
беззастенчиво;2
беззащитность;2
беззвучно;2
безликий;2
безличность;2
безличный;2
безлюдный;2
безмятежный;2
безнадежный;2
безнапорный;2
безнравственный;2
безо;2
безобидный;1,698970
безоболочечный;2
безоговорочно;1,518514
безоговорочный;1,518514
безопасно;2
безопасность;0,602060
безопасный;1,204120
безоружный;1,698970
безответственный;2
безотзывность;2
безотносительно;2
безошибочный;2
безработица;1,698970
безразличие;2
безрамка;2
безрезультатно;1,698970
безрезультатный;1,698970
безрукий;2
безукоризненно;2
безукоризненный;2
безумие;1,397940
безумно;2
безумный;2
безумство;2
безупречный;2
безусловно;1,698970
безусловный;1,397940
безуспешно;1,301030
безуспешный;1,518514
безучастный;2
безымянный;1,301030
безынициативный;2
безысходность;2
безысходный;2
бейал;2
бейдаг;2
бейдер;2
бейеринк;2
бейеринка;2
бейеринок;2
бейкер;1,698970
бейли;2
бейлина;2
бейнард;2
бейрут;2
бейсбол;1,698970
бейт;2
бейтензорг;2
бейтензорге;2
бейтензоргская;2
бейшлот;2
бек;1,301030
бекаси;2
бекворт;2
бекер;2
бекингем;2
бекон;2
бекский;2
бекстер;2
бекстрем;2
бексултанович;2
белан;2
белармино;2
беларусь;1,698970
белград;1,518514
белецкая;2
беливо;2
белиз;1,698970
белила;2
белильня;2
белка;2
белковый;1,518514
белла;1,698970
белладонна;2
беллерофон;2
беллетризированный;2
беллетрист;2
беллетристика;1,397940
беллинсгаузен;1,698970
белов;2
беловатый;2
белоглазка;2
белогорлый;2
белозеров;2
белок;1,204120
белокаменщик;2
белоккодировать;2
белоклювый;2
белокрылый;2
беломорский;2
белоногий;2
белоруссия;1,146128
белорусский;1,301030
белохвост;2
белтран;2
белфорт;2
белывать;2
белый;0,301030
бельгийский;1,518514
бельгия;1,146128
белье;1,301030
бельмарш;2
бельмо;2
бельский;2
бельтр;2
бельфор;2
беляков;1,518514
бем;2
бен;1,204120
бенавидес;2
бенгтсон;2
бенджамин;1,518514
бенедетти;2
бенедикт;2
бенедиктин;2
бенедиктинский;2
бенедикто;2
бенефиция;2
бензилгептанол;2
